[2018-06-27 23:07:58,670] [train] [INFO] epoch=0.00 step=100, 2.0602 examples/sec lr=0.000100, loss=209.962, loss_ll=41.7882, loss_ll_paf=69.8435, loss_ll_heat=13.733, q=1000
[2018-06-27 23:12:09,873] [train] [INFO] epoch=0.00 step=200, 3.1133 examples/sec lr=0.000100, loss=216.375, loss_ll=43.1721, loss_ll_paf=73.0256, loss_ll_heat=13.3186, q=1000
[2018-06-27 23:16:25,775] [train] [INFO] epoch=0.00 step=300, 3.7391 examples/sec lr=0.000100, loss=185.398, loss_ll=36.4109, loss_ll_paf=61.5637, loss_ll_heat=11.258, q=1000
[2018-06-27 23:20:42,773] [train] [INFO] epoch=0.00 step=400, 4.1539 examples/sec lr=0.000100, loss=216.37, loss_ll=42.6268, loss_ll_paf=70.2581, loss_ll_heat=14.9954, q=1000
[2018-06-27 23:24:57,842] [train] [INFO] epoch=0.00 step=500, 4.4548 examples/sec lr=0.000100, loss=192.712, loss_ll=37.4745, loss_ll_paf=64.4193, loss_ll_heat=10.5298, q=1000
[2018-06-27 23:29:13,393] [train] [INFO] epoch=0.00 step=600, 4.6798 examples/sec lr=0.000100, loss=143.95, loss_ll=28.118, loss_ll_paf=48.0421, loss_ll_heat=8.19394, q=1000
[2018-06-27 23:33:25,368] [train] [INFO] epoch=0.00 step=700, 4.8625 examples/sec lr=0.000100, loss=214.454, loss_ll=41.4323, loss_ll_paf=70.6271, loss_ll_heat=12.2375, q=1000
[2018-06-27 23:37:40,745] [train] [INFO] epoch=0.00 step=800, 5.0025 examples/sec lr=0.000100, loss=136.86, loss_ll=26.2986, loss_ll_paf=44.6893, loss_ll_heat=7.90786, q=1000
[2018-06-27 23:41:57,862] [train] [INFO] epoch=0.00 step=900, 5.1140 examples/sec lr=0.000100, loss=142.065, loss_ll=27.1065, loss_ll_paf=45.8366, loss_ll_heat=8.37643, q=1000
[2018-06-27 23:46:14,985] [train] [INFO] epoch=0.00 step=1000, 5.2067 examples/sec lr=0.000100, loss=188.029, loss_ll=35.4648, loss_ll_paf=60.2748, loss_ll_heat=10.6549, q=1000
[2018-06-27 23:52:07,074] [train] [INFO] epoch=0.00 step=1100, 5.1386 examples/sec lr=0.000100, loss=131.122, loss_ll=24.6838, loss_ll_paf=40.8788, loss_ll_heat=8.48888, q=1000
[2018-06-27 23:56:19,833] [train] [INFO] epoch=0.00 step=1200, 5.2205 examples/sec lr=0.000100, loss=144.438, loss_ll=27.4977, loss_ll_paf=46.0056, loss_ll_heat=8.98972, q=1000
[2018-06-28 00:00:34,992] [train] [INFO] epoch=0.00 step=1300, 5.2886 examples/sec lr=0.000100, loss=133.924, loss_ll=25.9064, loss_ll_paf=43.4041, loss_ll_heat=8.4088, q=1000
^[[2018-06-28 00:04:54,405] [train] [INFO] epoch=0.00 step=1400, 5.3430 examples/sec lr=0.000100, loss=127.56, loss_ll=23.6553, loss_ll_paf=39.8156, loss_ll_heat=7.49495, q=1000
[2018-06-28 00:09:08,620] [train] [INFO] epoch=0.00 step=1500, 5.3974 examples/sec lr=0.000100, loss=134.212, loss_ll=24.5133, loss_ll_paf=41.3941, loss_ll_heat=7.63242, q=1000
[2018-06-28 00:13:24,055] [train] [INFO] epoch=0.00 step=1600, 5.4445 examples/sec lr=0.000100, loss=149.683, loss_ll=27.4186, loss_ll_paf=46.7794, loss_ll_heat=8.05766, q=1000
[2018-06-28 00:17:41,706] [train] [INFO] epoch=0.00 step=1700, 5.4842 examples/sec lr=0.000100, loss=119.225, loss_ll=22.4333, loss_ll_paf=38.0387, loss_ll_heat=6.8278, q=1000
[2018-06-28 00:21:57,349] [train] [INFO] epoch=0.00 step=1800, 5.5222 examples/sec lr=0.000100, loss=116.251, loss_ll=20.3609, loss_ll_paf=34.4541, loss_ll_heat=6.26776, q=1000
[2018-06-28 00:26:07,710] [train] [INFO] epoch=0.00 step=1900, 5.5620 examples/sec lr=0.000100, loss=122.173, loss_ll=22.831, loss_ll_paf=39.7211, loss_ll_heat=5.94091, q=1000
[2018-06-28 00:30:22,389] [train] [INFO] epoch=0.00 step=2000, 5.5941 examples/sec lr=0.000100, loss=128.309, loss_ll=23.7554, loss_ll_paf=41.0716, loss_ll_heat=6.43922, q=1000
[2018-06-28 00:35:08,951] [train] [INFO] epoch=0.00 step=2100, 5.5936 examples/sec lr=0.000100, loss=144.566, loss_ll=26.8431, loss_ll_paf=46.0882, loss_ll_heat=7.59796, q=1000
[2018-06-28 00:39:23,164] [train] [INFO] epoch=0.00 step=2200, 5.6220 examples/sec lr=0.000100, loss=129.135, loss_ll=23.9456, loss_ll_paf=42.0683, loss_ll_heat=5.82289, q=1000
[2018-06-28 00:43:40,807] [train] [INFO] epoch=0.00 step=2300, 5.6452 examples/sec lr=0.000100, loss=129.829, loss_ll=24.5301, loss_ll_paf=41.3997, loss_ll_heat=7.66041, q=1000
[2018-06-28 00:47:56,363] [train] [INFO] epoch=0.00 step=2400, 5.6685 examples/sec lr=0.000100, loss=139.621, loss_ll=25.9886, loss_ll_paf=45.9065, loss_ll_heat=6.07072, q=1000
[2018-06-28 00:52:08,934] [train] [INFO] epoch=0.00 step=2500, 5.6924 examples/sec lr=0.000100, loss=101.342, loss_ll=19.0936, loss_ll_paf=32.9493, loss_ll_heat=5.23779, q=1000
[2018-06-28 00:56:22,879] [train] [INFO] epoch=0.00 step=2600, 5.7136 examples/sec lr=0.000100, loss=95.7259, loss_ll=17.6908, loss_ll_paf=30.4833, loss_ll_heat=4.8984, q=1000
[2018-06-28 01:00:35,179] [train] [INFO] epoch=0.00 step=2700, 5.7347 examples/sec lr=0.000100, loss=123.837, loss_ll=23.1716, loss_ll_paf=39.1865, loss_ll_heat=7.15662, q=1000
[2018-06-28 01:04:51,440] [train] [INFO] epoch=0.00 step=2800, 5.7514 examples/sec lr=0.000100, loss=83.1353, loss_ll=15.4604, loss_ll_paf=26.8636, loss_ll_heat=4.05711, q=1000
[2018-06-28 01:09:06,143] [train] [INFO] epoch=0.00 step=2900, 5.7682 examples/sec lr=0.000100, loss=95.4905, loss_ll=16.768, loss_ll_paf=27.4087, loss_ll_heat=6.12731, q=1000
[2018-06-28 01:13:22,584] [train] [INFO] epoch=0.00 step=3000, 5.7827 examples/sec lr=0.000100, loss=88.5888, loss_ll=16.2206, loss_ll_paf=27.3927, loss_ll_heat=5.04839, q=1000
[2018-06-28 01:18:04,866] [train] [INFO] epoch=0.00 step=3100, 5.7790 examples/sec lr=0.000100, loss=105.257, loss_ll=19.5362, loss_ll_paf=34.7166, loss_ll_heat=4.35589, q=1000
